Job Title,Experience,Company,Scraped data,Salary,Location,Tags,Posted date
Taxation And Accounts Assistant,2-4 Yrs,B James & Co,07/04/2023,Not disclosed,Mumbai,"['accounting', 'taxation', 'finalisation', 'tax returns', 'tax audit', 'sales tax', 'filing', 'assistance']",5 Days Ago
Accounts Executive - Payables,0-3 Yrs,Hilton Hotels,07/04/2023,Not disclosed,Panaji/Panjim,"['supervision', 'accounting', 'balance sheet', 'payables', 'hospitality', 'sheet', 'balance', 'training']",1 Day Ago
Senior Accounts Executive,0-2 Yrs,Rounak Jain  Associates,07/04/2023,2-3 Lacs PA,Thane,"['Gst Filing', 'accounting', 'filing', 'gst reconciliation', 'tally', 'tally software', 'reconciliation', 'professional tax']",1 Day Ago
Finance And Accounts Executive,0-5 Yrs,ALLENGERS GLOBAL HEALTHCARE PRIVATE LIMITED,07/04/2023,Not disclosed,"Mohali, Chandigarh, Kharar, Naya Gaon, Panchkula, Zirakpur","['Financial Accounting', 'reporting', 'accounts finalisation', 'accounting', 'balance sheet', 'sheet', 'finalisation', 'balance']",2 Days Ago
Finance And Accounts Executive,0-5 Yrs,ALLENGERS GLOBAL HEALTHCARE PRIVATE LIMITED,07/04/2023,Not disclosed,"Mohali, Chandigarh, Kharar, Naya Gaon, Panchkula, Zirakpur","['Financial Accounting', 'reporting', 'accounts finalisation', 'accounting', 'balance sheet', 'sheet', 'finalisation', 'balance']",2 Days Ago
Accounts & Taxation Manager,0-1 Yrs,Jana Small Finance Bank,07/04/2023,7-12 Lacs PA,Bangalore/Bengaluru,"['finance', 'management', 'taxation', 'tax management', 'accounts and taxation', 'accounting', 'auditing']",1 Day Ago
Assistant Manager/ ( Demat Accounts)-MBA Freshers,0-1 Yrs,Kotak Securities (KSL),07/04/2023,Not disclosed,Hyderabad/Secunderabad,"['Communication Skills', 'management', 'demat', 'assistance', 'accounting', 'Graduation']",1 Day Ago
EXECUTIVE I - ACCOUNTS (PAYROLL),0-3 Yrs,Asian Paints,07/04/2023,Not disclosed,Mumbai,"['compliance', 'management', 'mis', 'office', 'statutory compliance', 'sap', 'microsoft', 'statutory']",3 Days Ago
Finance And Accounts Executive,0-2 Yrs,Infollion Research Services,07/04/2023,2.25-3.5 Lacs PA,Hybrid - Gurgaon/Gurugram,"['General Accounting', 'financial auditing', 'operations', 'auditing', 'accounting operations', 'general', 'accounting', 'payables']",Few Hours Ago
Account Executive,0-2 Yrs,Om Trans Logistics,07/04/2023,1-3 Lacs PA,New Delhi(Punjabi Bagh West),"['General Ledger Accounting', 'account', 'journal', 'accounts reconciliation', 'payments', 'general', 'finance', 'purchase']",Just Now
Accounts Executive,0-3 Yrs,Burma Burma,07/04/2023,Not disclosed,Mumbai,"['accounting operations', 'financial accounting', 'operations', 'tally', 'finance', 'accounting', 'erp', 'tally erp']",Just Now
Account Executive,0-3 Yrs,Rajiv Machine Tools,07/04/2023,Not disclosed,Ahmedabad,"['Tally', 'Sales Entry', 'General Ledger Accounting', 'General Accounting', 'Ledger Posting', 'journal', 'payments', 'general']",Just Now
